id,name,aliases,ranked_default_status,source_status,champions_confirmed,available_formats,strict_M_B_status,current_format_status,types,hp,atk,def,spa,spd,spe,abilities,move_count,role_hints
ariados,Ariados,Ariados; ariados,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Bug|Poison,70,90,70,60,70,40,Swarm; Insomnia; Sniper,64,slow/bulky; Protect
armarouge,Armarouge,Armarouge; armarouge,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Psychic,85,60,100,125,80,75,Flash Fire; Weak Armor,55,special attacker; bulky; Protect; Wide Guard; Trick Room; Reflect; Light Screen
aromatisse,Aromatisse,Aromatisse; aromatisse,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fairy,101,72,72,99,89,29,Healer; Aroma Veil,48,slow/bulky; bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
audino,Audino,Audino; audino,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal,103,60,86,60,86,50,Healer; Regenerator; Klutz,69,slow/bulky; bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
aurorus,Aurorus,Aurorus; aurorus,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Rock|Ice,123,77,72,99,92,58,Refrigerate; Snow Warning,56,slow/bulky; bulky; Protect; Rain Dance; Reflect; Light Screen
avalugg,Avalugg,Avalugg; avalugg,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice,95,117,184,44,46,28,Own Tempo; Ice Body; Sturdy,57,slow/bulky; physical attacker; bulky; Protect; Wide Guard; Rain Dance
azumarill,Azumarill,Azumarill; azumarill,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Fairy,100,50,80,60,80,50,Thick Fat; Huge Power; Sap Sipper,66,slow/bulky; bulky; Protect; Rain Dance; Light Screen
banette,Banette,Banette; banette,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ghost,64,115,65,83,63,65,Insomnia; Frisk; Cursed Body,66,physical attacker; Protect; Trick Room; Rain Dance
barbaracle,Barbaracle,Barbaracle; barbaracle,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Rock|Water,72,105,115,54,86,68,Tough Claws; Sniper; Pickpocket,71,bulky; Protect; Rain Dance
basculegion,Basculegion,Basculegion; basculegion,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Ghost,120,112,65,80,75,78,Swift Swim; Adaptability; Mold Breaker,49,physical attacker; bulky; Protect; Rain Dance
basculegionfemale,Basculegion (Female),Basculegion (Female); Basculegion Female; Basculegion-Female; basculegionfemale,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Ghost,120,92,65,100,75,78,Swift Swim; Adaptability; Mold Breaker,49,bulky; Protect; Rain Dance
bastiodon,Bastiodon,Bastiodon; bastiodon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Rock|Steel,60,52,168,47,138,30,Sturdy; Soundproof,68,slow/bulky; bulky; Protect; Wide Guard; Rain Dance; Reflect
beartic,Beartic,Beartic; beartic,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice,95,130,80,70,80,50,Snow Cloak; Slush Rush; Swift Swim,75,slow/bulky; physical attacker; bulky; Protect; Rain Dance
beedrill,Beedrill,Beedrill; beedrill,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Bug|Poison,65,90,40,45,80,75,Swarm; Sniper,53,Protect
bellibolt,Bellibolt,Bellibolt; bellibolt,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric,109,64,91,103,83,45,Electromorphosis; Static; Damp,39,slow/bulky; bulky; Protect; Rain Dance; Reflect; Light Screen
blastoise,Blastoise,Blastoise; blastoise,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water,79,83,100,85,105,78,Torrent; Rain Dish,73,bulky; Protect; Fake Out; Rain Dance
blaziken,Blaziken,Blaziken; blaziken,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Fire|Fighting,80,120,70,110,70,80,Blaze; Speed Boost,78,physical attacker; special attacker; Protect
camerupt,Camerupt,Camerupt; camerupt,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Ground,70,100,70,105,75,40,Magma Armor; Solid Rock; Anger Point,67,slow/bulky; Protect; Rain Dance
castform,Castform,Castform; castform,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal,70,70,70,70,70,70,Forecast,37,Protect; Rain Dance
ceruledge,Ceruledge,Ceruledge; ceruledge,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Ghost,75,125,80,60,100,85,Flash Fire; Weak Armor,55,physical attacker; bulky; Protect; Reflect; Light Screen
chandelure,Chandelure,Chandelure; chandelure,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ghost|Fire,60,55,90,145,90,80,Flash Fire; Flame Body; Infiltrator,54,special attacker; Protect; Trick Room
charizard,Charizard,Charizard; charizard,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Flying,78,84,78,109,85,100,Blaze; Solar Power,72,Protect
chesnaught,Chesnaught,Chesnaught; chesnaught,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Grass|Fighting,88,107,122,74,75,64,Overgrow; Bulletproof,87,bulky; Protect; Wide Guard; Rain Dance; Reflect
chimecho,Chimecho,Chimecho; chimecho,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic,75,50,80,95,90,65,Levitate,65,Protect; Trick Room; Rain Dance; Reflect; Light Screen
clawitzer,Clawitzer,Clawitzer; clawitzer,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water,71,73,88,120,89,59,Mega Launcher,52,slow/bulky; special attacker; Protect; Rain Dance
clefable,Clefable,Clefable; clefable,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fairy,95,70,73,95,90,60,Cute Charm; Magic Guard; Unaware,91,slow/bulky; bulky; Protect; Follow Me; Rain Dance; Reflect; Light Screen
cofagrigus,Cofagrigus,Cofagrigus; cofagrigus,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ghost,58,50,145,95,105,30,Mummy,54,slow/bulky; bulky; Protect; Trick Room; Rain Dance
conkeldurr,Conkeldurr,Conkeldurr; conkeldurr,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fighting,105,140,95,55,65,45,Guts; Sheer Force; Iron Fist,61,slow/bulky; physical attacker; bulky; Protect; Wide Guard; Rain Dance
corviknight,Corviknight,Corviknight; corviknight,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Flying|Steel,98,87,105,53,85,67,Pressure; Unnerve; Mirror Armor,55,bulky; Protect; Tailwind; Rain Dance; Reflect; Light Screen
crabominable,Crabominable,Crabominable; crabominable,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fighting|Ice,97,132,77,62,67,43,Hyper Cutter; Iron Fist; Anger Point,63,slow/bulky; physical attacker; bulky; Protect; Wide Guard; Rain Dance
decidueye,Decidueye,Decidueye; decidueye,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Grass|Ghost,78,107,75,100,100,70,Overgrow; Long Reach,79,bulky; Protect; Tailwind; Rain Dance; Light Screen
dedenne,Dedenne,Dedenne; dedenne,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Fairy,67,58,57,81,67,101,Cheek Pouch; Pickup; Plus,50,Protect; Rain Dance; Light Screen
delphox,Delphox,Delphox; delphox,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Psychic,75,69,72,114,100,104,Blaze; Magician,72,special attacker; bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
diggersby,Diggersby,Diggersby; diggersby,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal|Ground,85,56,77,50,77,78,Pickup; Cheek Pouch; Huge Power,58,Protect
ditto,Ditto,Ditto; ditto,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal,48,48,48,48,48,48,Limber; Imposter,1,slow/bulky
dragalge,Dragalge,Dragalge; dragalge,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Poison|Dragon,65,75,90,97,123,44,Poison Point; Poison Touch; Adaptability,52,slow/bulky; bulky; Protect; Rain Dance
dragapult,Dragapult,Dragapult; dragapult,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dragon|Ghost,88,120,75,100,75,142,Clear Body; Infiltrator; Cursed Body,63,fast; physical attacker; Protect; Reflect; Light Screen
dragonite,Dragonite,Dragonite; dragonite,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dragon|Flying,91,134,95,100,100,80,Inner Focus; Multiscale,83,physical attacker; bulky; Protect; Tailwind; Rain Dance; Light Screen
drampa,Drampa,Drampa; drampa,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal|Dragon,78,60,85,135,91,36,Berserk; Sap Sipper; Cloud Nine,66,slow/bulky; special attacker; Protect; Rain Dance; Light Screen
eelektross,Eelektross,Eelektross; eelektross,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Electric,85,115,80,105,80,50,Levitate,75,slow/bulky; physical attacker; Protect; Rain Dance; Light Screen
emboar,Emboar,Emboar; emboar,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire|Fighting,110,123,65,100,65,65,Blaze; Reckless,79,physical attacker; bulky; Protect
emolga,Emolga,Emolga; emolga,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Flying,55,75,60,75,60,103,Static; Motor Drive,46,Protect; Rain Dance; Light Screen
empoleon,Empoleon,Empoleon; empoleon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Steel,84,86,88,111,101,60,Torrent; Competitive,74,slow/bulky; special attacker; bulky; Protect; Rain Dance
espathra,Espathra,Espathra; espathra,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic,95,60,60,101,60,105,Opportunist; Frisk; Speed Boost,57,bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
espeon,Espeon,Espeon; espeon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic,65,65,60,130,95,110,Synchronize; Magic Bounce,67,fast; special attacker; Protect; Trick Room; Rain Dance; Reflect; Light Screen
excadrill,Excadrill,Excadrill; excadrill,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ground|Steel,110,135,60,50,65,88,Sand Rush; Sand Force; Mold Breaker,53,physical attacker; bulky; Protect
falinks,Falinks,Falinks; falinks,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Fighting,65,100,100,70,60,75,Battle Armor; Defiant,51,bulky; Protect; Rain Dance
rotomfan,Fan Rotom,Fan Rotom; fanrotom; rotomfan,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Flying,50,65,107,105,107,86,Levitate,66,bulky; Protect; Rain Dance; Reflect; Light Screen
farigiraf,Farigiraf,Farigiraf; farigiraf,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal|Psychic,120,90,70,110,70,60,Cud Chew; Armor Tail; Sap Sipper,70,slow/bulky; special attacker; bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
feraligatr,Feraligatr,Feraligatr; feraligatr,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water,85,105,100,79,83,78,Torrent; Sheer Force,82,bulky; Protect; Rain Dance
flapple,Flapple,Flapple; flapple,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Grass|Dragon,70,110,80,95,60,70,Ripen; Gluttony; Hustle,44,physical attacker; Protect
flareon,Flareon,Flareon; flareon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fire,65,130,60,95,110,65,Flash Fire; Guts,57,physical attacker; bulky; Protect; Rain Dance
floette,Floette,Floette; floette,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fairy,54,45,47,75,98,52,Flower Veil; Symbiosis,41,slow/bulky; Protect; Rain Dance; Light Screen
florges,Florges,Florges; florges,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fairy,78,65,68,112,154,75,Flower Veil; Symbiosis,46,special attacker; bulky; Protect; Rain Dance; Light Screen
forretress,Forretress,Forretress; forretress,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Bug|Steel,75,90,140,60,60,40,Sturdy; Overcoat,69,slow/bulky; bulky; Protect; Rain Dance; Reflect; Light Screen
froslass,Froslass,Froslass; froslass,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice|Ghost,70,80,70,80,70,110,Snow Cloak; Cursed Body,68,fast; Protect; Rain Dance; Reflect; Light Screen
rotomfrost,Frost Rotom,Frost Rotom; frostrotom; rotomfrost,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Ice,50,65,107,105,107,86,Levitate,66,bulky; Protect; Rain Dance; Reflect; Light Screen
furfrou,Furfrou,Furfrou; furfrou,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Normal,75,80,60,65,90,102,Fur Coat,40,Protect; Rain Dance
slowbrogalar,Galarian Slowbro,Galarian Slowbro; galarianslowbro; slowbrogalar,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Poison|Psychic,95,100,95,100,70,30,Quick Draw; Own Tempo; Regenerator,90,slow/bulky; bulky; Protect; Trick Room; Rain Dance; Light Screen
slowkinggalar,Galarian Slowking,Galarian Slowking; galarianslowking; slowkinggalar,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Poison|Psychic,95,65,80,110,110,30,Curious Medicine; Own Tempo; Regenerator,95,slow/bulky; special attacker; bulky; Protect; Trick Room; Rain Dance; Light Screen
stunfiskgalar,Galarian Stunfisk,Galarian Stunfisk; galarianstunfisk; stunfiskgalar,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ground|Steel,109,81,99,66,84,32,Mimicry,52,slow/bulky; bulky; Protect; Rain Dance
gallade,Gallade,Gallade; gallade,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic|Fighting,68,125,65,65,115,80,Steadfast; Sharpness; Justified,105,physical attacker; bulky; Protect; Wide Guard; Trick Room; Rain Dance; Reflect; Light Screen
garbodor,Garbodor,Garbodor; garbodor,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Poison,80,95,82,60,82,75,Stench; Weak Armor; Aftermath,53,Protect; Rain Dance
garchomp,Garchomp,Garchomp; garchomp,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dragon|Ground,108,130,95,80,85,102,Sand Veil; Rough Skin,58,physical attacker; bulky; Protect; Rain Dance
gardevoir,Gardevoir,Gardevoir; gardevoir,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic|Fairy,68,65,65,125,115,80,Synchronize; Trace; Telepathy,80,special attacker; bulky; Protect; Trick Room; Rain Dance; Reflect; Light Screen
garganacl,Garganacl,Garganacl; garganacl,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Rock,100,100,130,45,90,35,Purifying Salt; Sturdy; Clear Body,54,slow/bulky; bulky; Protect; Wide Guard; Rain Dance
gengar,Gengar,Gengar; gengar,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ghost|Poison,60,65,60,130,75,110,Cursed Body,76,fast; special attacker; Protect; Trick Room; Rain Dance
gholdengo,Gholdengo,Gholdengo; gholdengo,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Steel|Ghost,87,60,95,133,91,84,Good as Gold,42,special attacker; Protect; Reflect; Light Screen
glaceon,Glaceon,Glaceon; glaceon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice,65,60,110,130,95,65,Snow Cloak; Ice Body,58,special attacker; bulky; Protect; Rain Dance
glalie,Glalie,Glalie; glalie,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ice,80,80,80,80,80,80,Inner Focus; Ice Body; Moody,54,Protect; Rain Dance; Light Screen
glimmora,Glimmora,Glimmora; glimmora,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Rock|Poison,83,55,90,130,81,86,Toxic Debris; Corrosion,46,special attacker; Protect; Rain Dance; Reflect; Light Screen
gliscor,Gliscor,Gliscor; gliscor,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ground|Flying,75,95,125,45,75,95,Hyper Cutter; Sand Veil; Poison Heal,74,bulky; Protect; Tailwind; Rain Dance
golurk,Golurk,Golurk; golurk,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ground|Ghost,89,124,80,55,80,55,Iron Fist; Klutz; No Guard,78,slow/bulky; physical attacker; Protect; Rain Dance; Reflect
goodra,Goodra,Goodra; goodra,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Dragon,90,100,70,110,150,80,Sap Sipper; Hydration; Gooey,77,special attacker; bulky; Protect; Rain Dance
gourgeist,Gourgeist,Gourgeist; gourgeist,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ghost|Grass,65,90,122,58,75,84,Pickup; Frisk; Insomnia,60,bulky; Protect; Trick Room; Light Screen
greninja,Greninja,Greninja; greninja,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Dark,72,95,67,103,71,122,Torrent; Protean,64,fast; Protect; Rain Dance
grimmsnarl,Grimmsnarl,Grimmsnarl; grimmsnarl,ranked_allowed_champions_confirmed,confirmed,True,M-B,confirmed,M-A:needs_check; M-B:confirmed,Dark|Fairy,95,120,65,95,75,60,Prankster; Frisk; Pickpocket,64,slow/bulky; physical attacker; bulky; Protect; Fake Out; Reflect; Light Screen
gyarados,Gyarados,Gyarados; gyarados,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Water|Flying,95,125,79,60,100,81,Intimidate; Moxie,67,physical attacker; bulky; Protect; Rain Dance
hatterene,Hatterene,Hatterene; hatterene,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Psychic|Fairy,57,90,95,136,103,29,Healer; Anticipation; Magic Bounce,59,slow/bulky; special attacker; bulky; Protect; Trick Room; Reflect; Light Screen
hawlucha,Hawlucha,Hawlucha; hawlucha,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Fighting|Flying,78,92,75,74,63,118,Limber; Unburden; Mold Breaker,74,fast; Protect; Rain Dance
rotomheat,Heat Rotom,Heat Rotom; heatrotom; rotomheat,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Fire,50,65,107,105,107,86,Levitate,66,bulky; Protect; Rain Dance; Reflect; Light Screen
heliolisk,Heliolisk,Heliolisk; heliolisk,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Electric|Normal,62,55,52,109,94,109,Dry Skin; Sand Veil; Solar Power,63,Protect; Rain Dance; Light Screen
heracross,Heracross,Heracross; heracross,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Bug|Fighting,80,125,75,40,95,85,Swarm; Guts; Moxie,66,physical attacker; Protect; Rain Dance
hippowdon,Hippowdon,Hippowdon; hippowdon,ranked_allowed_champions_confirmed,confirmed,True,M-A,needs_check,M-A:confirmed; M-B:needs_check,Ground,108,112,118,68,72,47,Sand Stream; Sand Force,51,slow/bulky; physical attacker; bulky; Protect
