entity_type,id,name,type,category,power,accuracy,pp,description,source_status,extra
move,bloodmoon,Blood Moon,Normal,Special,140,100,8,The user unleashes the full brunt of its spirit from a full moon that shines as red as blood. This move can't be used twice in a row.,confirmed,
move,bloomdoomphysical,Bloom Doom,Grass,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,bloomdoomspecial,Bloom Doom,Grass,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,blueflare,Blue Flare,Fire,Special,130,85,8,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.",confirmed,
move,bodypress,Body Press,Fighting,Physical,80,100,12,"The user attacks by slamming its body into the target. The higher the user's Defense stat, the greater the damage this move deals.",confirmed,
move,bodyslam,Body Slam,Normal,Physical,85,100,16,The user attacks by dropping onto the target with its full body weight. This may also leave the target with paralysis.,confirmed,
move,boltbeak,Bolt Beak,Electric,Physical,85,100,12,"The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled.",confirmed,
move,boltstrike,Bolt Strike,Electric,Physical,130,85,8,The user surrounds itself with a great amount of electricity and charges the target. This may also leave the target with paralysis.,confirmed,
move,boneclub,Bone Club,Ground,Physical,65,85,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,bonerush,Bone Rush,Ground,Physical,30,90,12,The user attacks by striking the target with a hard bone. This move hits two to five times in a row.,confirmed,
move,bonemerang,Bonemerang,Ground,Physical,50,90,12,The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.,confirmed,
move,boomburst,Boomburst,Normal,Special,140,100,12,The user attacks everything around it with the destructive power of a terrible explosive sound.,confirmed,
move,bounce,Bounce,Flying,Physical,85,85,8,"The user bounces up high on the first turn, then drops onto the target on the next turn. This may also leave the target with paralysis.",confirmed,
move,bouncybubble,Bouncy Bubble,Water,Special,60,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,branchpoke,Branch Poke,Grass,Physical,40,100,20,The user attacks the target by poking it with a sharply pointed branch.,confirmed,
move,bravebird,Brave Bird,Flying,Physical,120,100,16,The user tucks in its wings and charges at a low altitude. This also damages the user quite a lot.,confirmed,
move,breakingswipe,Breaking Swipe,Dragon,Physical,60,100,16,The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.,confirmed,
move,breakneckblitzphysical,Breakneck Blitz,Normal,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,breakneckblitzspecial,Breakneck Blitz,Normal,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,brickbreak,Brick Break,Fighting,Physical,75,100,16,"The user attacks with a swift chop. This move can also break barriers, such as Light Screen and Reflect.",confirmed,
move,brine,Brine,Water,Special,65,100,12,This move's power is doubled if the target's HP is at half or less.,confirmed,
move,brutalswing,Brutal Swing,Dark,Physical,60,100,20,The user swings its body around violently to inflict damage on everything in its vicinity.,confirmed,
move,bubble,Bubble,Water,Special,40,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,bubblebeam,Bubble Beam,Water,Special,65,100,20,A spray of bubbles is forcefully ejected at the target. This may also lower the target's Speed stat.,confirmed,
move,bugbite,Bug Bite,Bug,Physical,60,100,20,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect.",confirmed,
move,bugbuzz,Bug Buzz,Bug,Special,90,100,12,The user vibrates to generate a damaging sound wave. This may also lower the target's Sp. Def stat.,confirmed,
move,bulkup,Bulk Up,Fighting,Status,,,20,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats.",confirmed,
move,bulldoze,Bulldoze,Ground,Physical,60,100,20,The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.,confirmed,
move,bulletpunch,Bullet Punch,Steel,Physical,40,100,20,The user strikes the target with tough punches as fast as bullets. This move always goes first.,confirmed,
move,bulletseed,Bullet Seed,Grass,Physical,25,100,20,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.,confirmed,
move,burnup,Burn Up,Fire,Special,130,100,8,"To inflict massive damage, the user burns itself out. After using this move, the user will no longer be Fire type.",confirmed,
move,burningbulwark,Burning Bulwark,Fire,Status,,0,12,The user's intensely hot fur protects it from attacks and also burns any attacker that makes direct contact with it.,confirmed,
move,burningjealousy,Burning Jealousy,Fire,Special,70,100,8,The user attacks with energy from jealousy. This leaves all opposing Pokémon that have had their stats boosted during the turn with a burn.,confirmed,
move,buzzybuzz,Buzzy Buzz,Electric,Special,60,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,calmmind,Calm Mind,Psychic,Status,,,20,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.,confirmed,
move,camouflage,Camouflage,Normal,Status,,,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,captivate,Captivate,Normal,Status,,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,catastropika,Catastropika,Electric,Physical,210,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,ceaselessedge,Ceaseless Edge,Dark,Physical,65,90,16,The user slashes its shell blade at the target. Shell splinters left behind by this attack remain scattered under the target as spikes.,confirmed,
move,celebrate,Celebrate,Normal,Status,,,20,The Pokémon congratulates you on your special day!,confirmed,
move,charge,Charge,Electric,Status,,,20,"The user becomes charged, boosting the power of the next Electric-type move it uses. This also boosts the user's Sp. Def stat.",confirmed,
move,chargebeam,Charge Beam,Electric,Special,50,90,12,The user attacks the target with an electric charge. The residual electricity may also boost the user's Sp. Atk stat.,confirmed,
move,charm,Charm,Fairy,Status,,100,20,"The user gazes at the target rather charmingly, making it less wary. This harshly lowers the target's Attack stat.",confirmed,
move,chatter,Chatter,Flying,Special,65,100,20,The user attacks the target with sound waves of deafening chatter. This confuses the target.,confirmed,
move,chillingwater,Chilling Water,Water,Special,50,100,20,The user attacks the target by showering it with water that's so cold it saps the target's power. This also lowers the target's Attack stat.,confirmed,
move,chillyreception,Chilly Reception,Ice,Status,,,12,The user tells a chillingly bad joke before switching places with a party Pokémon in waiting. This summons a snowstorm lasting five turns.,confirmed,
move,chipaway,Chip Away,Normal,Physical,70,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,chloroblast,Chloroblast,Grass,Special,150,95,8,The user launches its amassed chlorophyll to inflict damage on the target. This also damages the user.,confirmed,
move,circlethrow,Circle Throw,Fighting,Physical,60,90,12,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",confirmed,
move,clamp,Clamp,Water,Physical,35,85,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,clangingscales,Clanging Scales,Dragon,Special,110,100,8,The user rubs the scales on its entire body and makes a huge noise to attack opposing Pokémon. The user's Defense stat is lowered after the attack.,confirmed,
move,clangoroussoul,Clangorous Soul,Dragon,Status,,100,8,The user boosts all its stats by using some of its own HP.,confirmed,
move,clangoroussoulblaze,Clangorous Soulblaze,Dragon,Special,185,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,clearsmog,Clear Smog,Poison,Special,50,,16,The user attacks the target by throwing a clump of special mud. All stat changes are eliminated.,confirmed,
move,closecombat,Close Combat,Fighting,Physical,120,100,8,"The user fights the target up close, inflicting damage without guarding itself. This also lowers the user's Defense and Sp. Def stats.",confirmed,
move,coaching,Coaching,Fighting,Status,,,12,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats.",confirmed,
move,coil,Coil,Poison,Status,,,20,The user coils up and concentrates. This boosts its Attack and Defense stats as well as its accuracy.,confirmed,
move,collisioncourse,Collision Course,Fighting,Physical,100,100,8,"The user transforms and crashes to the ground, causing a massive prehistoric explosion. This move's power is boosted more than usual if it’s a supereffective hit.",confirmed,
move,combattorque,Combat Torque,Fighting,Physical,100,100,12,Has a 30% chance to paralyze the target.,confirmed,
move,cometpunch,Comet Punch,Normal,Physical,18,85,16,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,comeuppance,Comeuppance,Dark,Physical,1,100,12,The user retaliates with much greater force against the opponent that last inflicted damage on it.,confirmed,
move,confide,Confide,Normal,Status,,,20,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target's Sp. Atk stat.",confirmed,
move,confuseray,Confuse Ray,Ghost,Status,,100,12,The target is exposed to a sinister ray that causes confusion.,confirmed,
move,confusion,Confusion,Psychic,Special,50,100,20,The target is hit with a weak telekinetic force to inflict damage. This may also confuse the target.,confirmed,
move,constrict,Constrict,Normal,Physical,10,100,20,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,continentalcrushphysical,Continental Crush,Rock,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,continentalcrushspecial,Continental Crush,Rock,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,conversion,Conversion,Normal,Status,,,20,The user changes its type to become the same type as the move at the top of the list of moves it knows.,confirmed,
move,conversion2,Conversion 2,Normal,Status,,,20,The user changes its type to make itself resistant to the type of the move the target used last.,confirmed,
move,copycat,Copycat,Normal,Status,,,20,The user mimics the move used immediately before it. The move fails if no other move has been used yet.,confirmed,
move,coreenforcer,Core Enforcer,Dragon,Special,100,100,12,"If the Pokémon the user has inflicted damage on have already used their moves, this move eliminates the effect of the target’s Ability.",confirmed,
move,corkscrewcrashphysical,Corkscrew Crash,Steel,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,corkscrewcrashspecial,Corkscrew Crash,Steel,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,corrosivegas,Corrosive Gas,Poison,Status,,100,20,The user surrounds everything around it with highly acidic gas and melts away items they hold.,confirmed,
move,cosmicpower,Cosmic Power,Psychic,Status,,,20,The user absorbs a mystical power from space to boost its Defense and Sp. Def stats.,confirmed,
move,cottonguard,Cotton Guard,Grass,Status,,,12,"The user protects itself by wrapping its body in soft cotton, drastically boosting its Defense stat.",confirmed,
move,cottonspore,Cotton Spore,Grass,Status,,100,20,The user releases cotton-like spores that cling to opposing Pokémon. This harshly lowers their Speed stats.,confirmed,
move,counter,Counter,Fighting,Physical,,100,20,"A retaliatory attack that counters any physical move, inflicting double the damage taken.",confirmed,
move,courtchange,Court Change,Normal,Status,,100,12,"With its mysterious power, the user swaps the effects on either side of the field.",confirmed,
move,covet,Covet,Normal,Physical,60,100,20,"The user endearingly approaches the target, then steals the target's held item.",confirmed,
move,crabhammer,Crabhammer,Water,Physical,100,95,12,The target is hammered with a large pincer. This move has a heightened chance of landing a critical hit.,confirmed,
move,craftyshield,Crafty Shield,Fairy,Status,,,12,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.,confirmed,
move,crosschop,Cross Chop,Fighting,Physical,100,80,8,The user delivers a double chop with its forearms crossed. This move has a heightened chance of landing a critical hit.,confirmed,
move,crosspoison,Cross Poison,Poison,Physical,70,100,20,A slashing attack with a poisonous blade that may also poison the target. This move has a heightened chance of landing a critical hit.,confirmed,
move,crunch,Crunch,Dark,Physical,80,100,16,The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.,confirmed,
move,crushclaw,Crush Claw,Normal,Physical,75,95,12,The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.,confirmed,
move,crushgrip,Crush Grip,Normal,Physical,,100,8,"The target is crushed with great force. The more HP the target has left, the greater the move's power.",confirmed,
move,curse,Curse,Ghost,Status,,,12,A move that has different effects depending on whether the user is a Ghost type or not.,confirmed,
move,cut,Cut,Normal,Physical,50,95,20,The target is cut with a scythe or claw.,confirmed,
move,darkpulse,Dark Pulse,Dark,Special,80,100,16,The user releases a horrible aura imbued with ill intent. This may also make the target flinch.,confirmed,
move,darkvoid,Dark Void,Dark,Status,,50,12,Opposing Pokémon are dragged into a world of total darkness that puts them to sleep.,confirmed,
move,darkestlariat,Darkest Lariat,Dark,Physical,85,100,12,The user swings both arms and hits the target. The target's stat changes don't affect the damage inflicted by this move.,confirmed,
move,dazzlinggleam,Dazzling Gleam,Fairy,Special,80,100,12,The user damages opposing Pokémon by emitting a powerful flash.,confirmed,
move,decorate,Decorate,Fairy,Status,,,16,The user sharply boosts the target's Attack and Sp. Atk stats by decorating the target.,confirmed,
move,defendorder,Defend Order,Bug,Status,,,12,"The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats.",confirmed,
move,defensecurl,Defense Curl,Normal,Status,,,20,The user curls up and boosts its Defense stat.,confirmed,
move,defog,Defog,Flying,Status,,,16,A strong wind blows away the target's barriers such as Reflect or Light Screen. This also lowers the target's evasiveness.,confirmed,
move,destinybond,Destiny Bond,Ghost,Status,,,8,"If the user is knocked out after using this move, the Pokémon that knocked it out will also faint. This move's chance of failing rises if it is used in succession.",confirmed,
move,detect,Detect,Fighting,Status,,,8,This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.,confirmed,
move,devastatingdrakephysical,Devastating Drake,Dragon,Physical,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,devastatingdrakespecial,Devastating Drake,Dragon,Special,,,1,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,diamondstorm,Diamond Storm,Rock,Physical,100,95,8,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply boost the user's Defense stat.,confirmed,
move,dig,Dig,Ground,Physical,80,100,12,"The user burrows into the ground on the first turn, then attacks on the next turn.",confirmed,
move,direclaw,Dire Claw,Poison,Physical,80,100,16,The user lashes out at the target with ruinous claws. Has a 30% chance of leaving the target poisoned paralyzed or asleep.,confirmed,
move,disable,Disable,Normal,Status,,100,20,"For four turns, the target will be unable to use whichever move it last used.",confirmed,
move,disarmingvoice,Disarming Voice,Fairy,Special,40,,16,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.",confirmed,
move,discharge,Discharge,Electric,Special,80,100,16,The user strikes everything around it by letting loose a flare of electricity. This may also leave those hit by the attack with paralysis.,confirmed,
move,dive,Dive,Water,Physical,80,100,12,"The user dives on the first turn, then floats up and attacks on the next turn.",confirmed,
move,dizzypunch,Dizzy Punch,Normal,Physical,70,100,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,doodle,Doodle,Normal,Status,,100,12,The user captures the very essence of the target in a sketch. This changes the Abilities of the user and its ally Pokémon to that of the target.,confirmed,
move,doomdesire,Doom Desire,Steel,Special,140,100,8,"This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.",confirmed,
move,doublehit,Double Hit,Normal,Physical,35,90,12,The user slams the target with a tail or the like. The target is hit twice in a row.,confirmed,
move,doubleironbash,Double Iron Bash,Steel,Physical,60,100,8,"The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch.",confirmed,
move,doublekick,Double Kick,Fighting,Physical,30,100,20,The user attacks by kicking the target twice in a row using two feet.,confirmed,
move,doubleshock,Double Shock,Electric,Physical,120,100,8,"The user discharges all the electricity from its body to perform a high-damage attack. After using this move, the user will no longer be Electric type.",confirmed,
move,doubleslap,Double Slap,Normal,Physical,15,85,12,"This move can’t be used. It’s recommended that this move is forgotten. Once forgotten, this move can’t be remembered.",confirmed,
move,doubleteam,Double Team,Normal,Status,,,16,"By moving rapidly, the user makes illusory copies of itself to boost its evasiveness.",confirmed,
move,doubleedge,Double-Edge,Normal,Physical,120,100,16,A reckless life-risking tackle in which the user rushes the target. This also damages the user quite a lot.,confirmed,
move,dracometeor,Draco Meteor,Dragon,Special,130,90,8,Comets are summoned down from the sky onto the target. The recoil from this move harshly lowers the user’s Sp. Atk stat.,confirmed,
move,dragonascent,Dragon Ascent,Flying,Physical,120,100,8,The user attacks the target by dropping out of the sky at high speed. This also lowers the user's Defense and Sp. Def stats.,confirmed,
move,dragonbreath,Dragon Breath,Dragon,Special,60,100,20,The user exhales a mighty gust that inflicts damage. This may also leave the target with paralysis.,confirmed,
move,dragoncheer,Dragon Cheer,Dragon,Status,,0,16,The user raises its allies’ morale with a draconic cry so that their future attacks have a heightened chance of landing critical hits. This rouses Dragon types more.,confirmed,
move,dragonclaw,Dragon Claw,Dragon,Physical,80,100,16,"The user slashes the target with huge, sharp claws to inflict damage.",confirmed,
move,dragondance,Dragon Dance,Dragon,Status,,,20,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats.",confirmed,
move,dragondarts,Dragon Darts,Dragon,Physical,50,100,12,"The user attacks twice using Dreepy. If there are two opposing Pokémon, this move hits each of them once.",confirmed,
move,dragonenergy,Dragon Energy,Dragon,Special,150,100,8,"Converting its life-force into power, the user attacks opposing Pokémon. The lower the user's HP, the lower the move's power.",confirmed,
move,dragonhammer,Dragon Hammer,Dragon,Physical,90,100,16,The user wields its body like a hammer to attack the target and inflict damage.,confirmed,
